,property_type,sector,price,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
1267,flat,sector 111,3.5,4.0,5.0,3+,10.0,Relatively New,2700.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0
1268,flat,sector 86,1.3,3.0,3.0,3,15.0,Relatively New,1715.0,0.0,1.0,0.0,1.0,0.0,1.0,49.0
1269,flat,sector 108,0.7,2.0,2.0,1,10.0,Moderately Old,1468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270,flat,sector 104,2.55,4.0,4.0,3+,5.0,Relatively New,2303.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0
1271,flat,sector 109,1.75,3.0,3.0,3,4.0,New Property,1466.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1272,flat,sector 81,4.7,4.0,4.0,3+,19.0,Relatively New,6268.0,0.0,1.0,0.0,0.0,0.0,1.0,140.0
1273,flat,sector 5,0.4,3.0,2.0,1,3.0,Relatively New,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1274,house,sector 43,11.5,7.0,8.0,3+,3.0,Old Property,9000.0,0.0,1.0,1.0,1.0,0.0,1.0,31.0
1275,flat,sector 72,6.75,4.0,4.0,3+,0.0,New Property,4000.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0
1276,flat,sector 33,1.55,3.0,4.0,1,1.0,Relatively New,1421.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0
1277,flat,sector 85,0.67,2.0,2.0,2,5.0,Relatively New,1250.0,0.0,0.0,0.0,0.0,1.0,1.0,174.0
1278,flat,sector 107,0.5,2.0,2.0,1,11.0,Relatively New,494.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
1279,flat,sector 102,1.45,3.0,3.0,3,8.0,Relatively New,1300.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0
1280,flat,sector 81,0.9,3.0,3.0,0,7.0,Relatively New,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,house,sector 67,1.85,3.0,3.0,3,1.0,Moderately Old,278.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
1282,flat,sector 15,1.4,4.0,3.0,3,3.0,Old Property,1444.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0
1283,flat,sector 67,2.8,3.0,3.0,3,2.0,Relatively New,2048.0,0.0,0.0,1.0,0.0,0.0,2.0,174.0
1284,flat,sector 5,0.28,2.0,2.0,1,3.0,Relatively New,600.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
1285,flat,sector 90,1.25,3.0,3.0,3,18.0,Relatively New,1557.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0
1286,flat,sector 104,2.49,3.0,3.0,3+,14.0,Relatively New,2217.0,0.0,1.0,0.0,0.0,0.0,1.0,129.0
1287,flat,sector 90,0.64,2.0,2.0,3,6.0,Old Property,1199.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0
1288,house,sector 11,2.5,5.0,4.0,3,1.0,Old Property,1850.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1289,flat,sector 39,2.0,5.0,4.0,3,9.0,Old Property,3556.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0
1290,flat,sector 74,1.5,2.0,2.0,1,8.0,New Property,1556.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
1291,flat,sector 77,0.75,2.0,2.0,2,7.0,Relatively New,1180.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0
1292,flat,sector 103,0.9,2.0,2.0,2,1.0,Relatively New,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
1293,flat,sector 36,0.5,1.0,1.0,1,5.0,New Property,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,house,sector 13,9.0,10.0,5.0,3+,4.0,Old Property,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295,flat,sector 67,1.0,1.0,1.0,1,17.0,Relatively New,826.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
1296,flat,sector 22,1.75,2.0,2.0,2,11.0,Under Construction,1249.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
1297,house,sector 3,1.5,3.0,3.0,0,2.0,Old Property,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1298,flat,sector 54,5.7,3.0,3.0,3,1.0,Moderately Old,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
1299,house,sector 55,5.6,6.0,4.0,3,3.0,Old Property,2700.0,0.0,1.0,0.0,0.0,0.0,1.0,41.0
1300,flat,sector 108,2.0,4.0,4.0,3+,10.0,Relatively New,2500.0,0.0,1.0,0.0,1.0,0.0,1.0,174.0
1301,flat,sector 91,0.9,2.0,2.0,2,13.0,Relatively New,1186.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0
1302,flat,sector 50,2.7,3.0,3.0,3+,6.0,Moderately Old,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
1303,flat,sector 69,0.6,2.0,1.0,1,12.0,Relatively New,667.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1304,house,sector 33,0.85,3.0,2.0,0,1.0,Relatively New,900.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1305,flat,sector 66,2.8,3.0,4.0,3,8.0,Relatively New,1700.0,0.0,1.0,0.0,0.0,0.0,1.0,117.0
1306,house,sector 57,6.25,9.0,9.0,3+,3.0,New Property,2660.0,0.0,1.0,0.0,0.0,0.0,1.0,61.0
1307,house,sector 93,1.3,3.0,2.0,1,3.0,Relatively New,1152.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
1308,house,sector 24,1.9,10.0,9.0,3+,3.0,Relatively New,5018.0,0.0,0.0,0.0,0.0,1.0,2.0,29.0
1309,flat,sector 106,0.39,1.0,1.0,1,7.0,Relatively New,567.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
1310,flat,manesar,0.81,3.0,3.0,3+,2.0,Moderately Old,1900.0,0.0,1.0,0.0,0.0,0.0,0.0,74.0
1311,flat,sector 85,1.77,3.0,4.0,3,6.0,Moderately Old,1450.0,0.0,1.0,0.0,0.0,0.0,1.0,135.0
1312,flat,sector 104,2.65,4.0,4.0,3+,10.0,Relatively New,2851.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
1313,flat,sector 84,0.41,2.0,2.0,2,10.0,New Property,565.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0
1314,flat,sector 92,2.0,4.0,5.0,3+,12.0,Relatively New,2453.0,0.0,1.0,0.0,0.0,0.0,1.0,60.0
1315,flat,sector 81,2.4,3.0,3.0,3+,12.0,Relatively New,1650.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0
1316,house,sector 4,0.47,2.0,1.0,1,1.0,Moderately Old,624.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1317,flat,sector 84,0.85,2.0,2.0,3,10.0,New Property,1222.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0
1318,flat,sector 37d,1.17,2.0,2.0,2,0.0,Relatively New,1276.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
1319,flat,sector 67,3.5,3.0,4.0,3,17.0,Relatively New,2225.0,0.0,1.0,1.0,0.0,0.0,1.0,167.0
1320,flat,sector 70a,1.82,3.0,3.0,3,12.0,Relatively New,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
1321,house,sector 57,6.21,6.0,6.0,3+,4.0,Old Property,2700.0,1.0,1.0,1.0,1.0,0.0,0.0,52.0
1322,flat,sector 66,1.5,2.0,3.0,3,1.0,Relatively New,1330.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0
1323,house,sector 2,5.7,5.0,5.0,2,2.0,Old Property,4550.0,0.0,0.0,0.0,1.0,0.0,2.0,94.0
1324,flat,sector 79,0.95,2.0,2.0,3,7.0,New Property,1385.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0
1325,flat,sector 36,0.37,1.0,1.0,1,3.0,Relatively New,319.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0
1326,flat,sector 14,2.75,4.0,5.0,3+,8.0,Old Property,2200.0,1.0,1.0,0.0,0.0,0.0,2.0,128.0
1327,flat,sector 50,6.75,4.0,4.0,0,10.0,Moderately Old,3395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1328,flat,sector 108,1.25,3.0,3.0,3,1.0,Relatively New,1500.0,0.0,1.0,0.0,1.0,0.0,0.0,174.0
1329,flat,sector 43,2.1,3.0,3.0,1,2.0,Old Property,1233.0,0.0,0.0,1.0,0.0,0.0,1.0,88.0
1330,flat,sector 67a,1.9,4.0,4.0,3,3.0,New Property,1991.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0
1331,house,sector 3,0.8,2.0,4.0,1,2.0,Moderately Old,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,house,sector 33,9.5,6.0,6.0,3+,3.0,Moderately Old,4914.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0
1333,flat,sector 1,2.01,4.0,4.0,3+,10.0,Moderately Old,1956.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1334,flat,sector 71,0.37,1.0,1.0,2,2.0,Relatively New,450.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
1335,flat,sector 107,1.4,3.0,4.0,3+,6.0,Relatively New,2137.0,0.0,1.0,0.0,0.0,0.0,0.0,117.0
1336,flat,sector 69,1.76,3.0,4.0,2,0.0,Relatively New,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0
1337,flat,sector 90,1.42,4.0,4.0,3+,8.0,Moderately Old,2139.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0
1338,house,sector 5,1.0,3.0,4.0,2,2.0,Relatively New,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1339,flat,sector 102,1.1,2.0,2.0,1,8.0,Under Construction,817.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
1340,flat,sector 77,1.9,3.0,4.0,3+,6.0,New Property,1582.0,0.0,1.0,0.0,0.0,0.0,1.0,42.0
1341,flat,sector 70a,1.9,4.0,3.0,3,2.0,New Property,2111.0,0.0,0.0,1.0,0.0,0.0,0.0,133.0
1342,flat,sector 54,1.75,3.0,3.0,3+,6.0,Moderately Old,2100.0,0.0,1.0,0.0,0.0,0.0,1.0,126.0
1343,flat,sector 77,1.55,4.0,4.0,3+,2.0,Relatively New,1800.0,1.0,1.0,0.0,0.0,0.0,2.0,49.0
1344,flat,sector 84,1.2,2.0,2.0,1,6.0,Relatively New,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1345,flat,sector 86,1.28,3.0,4.0,3+,12.0,Moderately Old,1740.0,0.0,1.0,0.0,1.0,0.0,0.0,96.0
1346,flat,sector 82a,1.25,3.0,2.0,3,2.0,Relatively New,1667.0,1.0,0.0,0.0,1.0,0.0,1.0,94.0
1347,flat,sector 85,0.69,2.0,2.0,2,5.0,Relatively New,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
1348,flat,sector 72,3.3,3.0,3.0,3+,10.0,Relatively New,2000.0,0.0,1.0,0.0,0.0,0.0,1.0,165.0
1349,flat,sector 84,1.2,2.0,2.0,3,3.0,Relatively New,1457.0,1.0,0.0,0.0,0.0,0.0,1.0,133.0
1350,flat,sector 77,1.2,3.0,3.0,3,14.0,Relatively New,1822.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
1351,flat,sector 54,4.85,3.0,4.0,3+,6.0,Moderately Old,1607.0,0.0,1.0,0.0,0.0,0.0,2.0,158.0
1352,house,sector 2,0.4,3.0,4.0,2,2.0,Moderately Old,900.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
1353,flat,sector 82,0.86,2.0,2.0,2,12.0,Relatively New,1294.0,1.0,0.0,0.0,0.0,0.0,1.0,135.0
1354,flat,sector 33,1.7,3.0,3.0,3+,5.0,New Property,1697.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0
1355,flat,sector 70,1.15,2.0,2.0,2,6.0,Relatively New,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0
1356,flat,sohna road,0.2,2.0,2.0,1,4.0,New Property,743.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1357,flat,sector 79,1.1,3.0,3.0,3,22.0,Relatively New,1154.0,1.0,0.0,0.0,1.0,0.0,1.0,135.0
1358,flat,sector 81,1.45,3.0,3.0,3,8.0,Relatively New,1650.0,0.0,0.0,0.0,0.0,1.0,1.0,128.0
1359,house,sector 109,6.3,4.0,5.0,3+,2.0,Relatively New,7000.0,0.0,0.0,0.0,0.0,0.0,1.0,122.0
