,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
2333,house,unitech south city,sector 50,5.88,27222.0,2160.0,Plot area 240(200.67 sq.m.),9.0,9.0,3+,3.0,East,Relatively New,,2160.0,,1.0,1.0,0.0,1.0,1.0,2.0,128.0
2343,house,housing board colony,sector 28,3.5,25926.0,1350.0,Plot area 150(125.42 sq.m.),6.0,6.0,3,3.0,,Relatively New,,1350.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2344,flat,rof ananda,sector 95,0.55,8527.0,645.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3.0,2.0,2,14.0,East,New Property,1000.0,,645.0,1.0,0.0,0.0,0.0,0.0,1.0,81.0
2353,flat,signature global solera,sector 107,0.28,5622.0,498.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,14.0,North-West,Relatively New,,,489.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
2360,house,independent,sector 105,0.6,11111.0,540.0,Plot area 60(50.17 sq.m.),8.0,4.0,3,3.0,West,New Property,,540.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2380,flat,zara aavaas,sector 104,0.49,6577.0,745.0,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3.0,2.0,2,7.0,,Under Construction,745.0,,645.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
2381,flat,mvn athens,sohna road,0.26,5394.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2.0,2.0,1,5.0,,Relatively New,,,481.684525,0.0,0.0,0.0,0.0,0.0,0.0,95.0
2386,house,independent,sector 47,4.6,26620.0,1728.0,Plot area 192(160.54 sq.m.),7.0,6.0,3+,4.0,,Moderately Old,,1728.0,,0.0,0.0,0.0,0.0,0.0,2.0,51.0
2461,house,independent,sector 12,6.0,35088.0,1710.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),9.0,6.0,2,2.0,North-East,Old Property,,,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2537,house,independent,sector 105,0.38,8444.0,450.0,Carpet area: 50 (4.65 sq.m.),2.0,2.0,2,1.0,,Undefined,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2538,flat,gls arawali homes,sohna road,0.29,6029.0,481.0,Carpet area: 480.53 (44.64 sq.m.),2.0,2.0,2,9.0,East,Relatively New,,,480.500496,0.0,0.0,0.0,0.0,0.0,0.0,55.0
2541,flat,rof ananda,sector 95,0.38,5901.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3.0,2.0,1,2.0,South-East,Relatively New,,,644.111776,0.0,0.0,0.0,1.0,0.0,1.0,66.0
2559,house,row house,sector 105,0.43,9130.0,471.0,Plot area 52(43.48 sq.m.)Built Up area: 1050 sq.yards (877.93 sq.m.),3.0,3.0,3,2.0,,Relatively New,,1050.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2571,flat,gls avenue 51,sector 92,0.39,6075.0,642.0,Carpet area: 641.74 (59.62 sq.m.),3.0,3.0,3+,6.0,North,Relatively New,,,641.743718,0.0,0.0,0.0,0.0,0.0,0.0,104.0
2592,house,independent,sector 7,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),3.0,1.0,1,3.0,East,Relatively New,,550.0,,0.0,0.0,0.0,0.0,1.0,0.0,22.0
2594,flat,signature global solera,sector 107,0.28,5833.0,480.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,11.0,South,Relatively New,,,489.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
2660,house,sai kripa floors 5,sector 11,0.9,11250.0,800.0,Plot area 800(74.32 sq.m.),5.0,5.0,3,3.0,,Relatively New,,800.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2721,house,independent,sector 5,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),5.0,3.0,3,3.0,,Moderately Old,,450.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2722,house,huda housing board colony,sector 31,4.6,31507.0,1460.0,Plot area 1460(135.64 sq.m.),6.0,4.0,3+,3.0,East,Old Property,,1460.0,,0.0,0.0,0.0,0.0,1.0,0.0,8.0
2784,house,independent,sector 28,0.75,20833.0,360.0,Plot area 40(33.45 sq.m.),7.0,4.0,3+,4.0,,Moderately Old,,360.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2786,flat,mvn athens,sohna road,0.27,5895.0,458.0,Carpet area: 457.52 (42.5 sq.m.),2.0,2.0,1,0.0,,Relatively New,,,457.46575,0.0,0.0,0.0,0.0,0.0,1.0,69.0
2806,house,independent,sector 2,0.98,9074.0,1080.0,Carpet area: 120 (100.34 sq.m.),9.0,4.0,3,1.0,South,Undefined,,,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2810,flat,mvn athens,sohna road,0.27,5895.0,458.0,Carpet area: 457.81 (42.53 sq.m.),2.0,2.0,1,4.0,South-East,Relatively New,,,457.788667,0.0,0.0,0.0,0.0,1.0,1.0,35.0
2832,house,independent,sector 9,0.6,10753.0,558.0,Plot area 62(51.84 sq.m.),3.0,3.0,1,2.0,,Relatively New,,558.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2889,house,madan puri,sector 7,0.75,12500.0,600.0,Plot area 600(55.74 sq.m.),3.0,5.0,3,3.0,South-East,Moderately Old,,600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2914,flat,pivotal devaan,sector 84,0.35,7246.0,483.0,Carpet area: 483 (44.87 sq.m.),2.0,2.0,2,4.0,East,Relatively New,,,483.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
2948,house,independent,sector 8,0.32,7111.0,450.0,Built Up area: 450 (41.81 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2.0,3.0,1,1.0,North-East,Relatively New,,450.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2980,flat,mvn athens,sohna road,0.25,5187.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2.0,2.0,1,0.0,North,Relatively New,,,481.684525,0.0,0.0,0.0,1.0,0.0,0.0,90.0
2984,house,independent,sector 11,0.9,10000.0,900.0,Plot area 900(83.61 sq.m.),7.0,4.0,3+,4.0,,Moderately Old,,900.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2988,flat,signature global solera,sector 107,0.28,5726.0,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,6.0,West,Relatively New,,,489.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
3045,house,dlf city plots phase 2,sector 25,6.5,33592.0,1935.0,Plot area 215(179.77 sq.m.),9.0,9.0,3+,3.0,West,Old Property,,1935.0,,1.0,1.0,1.0,1.0,0.0,1.0,142.0
3069,house,independent,sector 7,0.27,12000.0,225.0,Plot area 225(20.9 sq.m.),2.0,2.0,1,2.0,North-East,Moderately Old,,225.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0
3070,flat,pyramid urban homes 2,sector 86,0.41,8283.0,495.0,Carpet area: 501 (46.54 sq.m.),2.0,2.0,1,7.0,West,New Property,,,501.0,1.0,1.0,0.0,1.0,1.0,0.0,49.0
3101,house,independent,sector 9,1.25,8735.0,1431.0,Plot area 159(132.94 sq.m.),10.0,6.0,3+,3.0,,Old Property,,1431.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3119,flat,signature global solera,sector 107,0.28,5680.0,493.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,11.0,North,Relatively New,,,489.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
3148,house,"bhim nagar, sector 6",sector 6,0.85,14096.0,603.0,Plot area 67(6.22 sq.m.),5.0,2.0,2,1.0,,Old Property,,67.0,,0.0,0.0,0.0,1.0,0.0,0.0,29.0
3198,house,uppal southend,sector 49,3.75,25562.0,1467.0,Built Up area: 163 (136.29 sq.m.),6.0,6.0,3+,3.0,East,Moderately Old,,163.0,,1.0,0.0,0.0,0.0,0.0,1.0,26.0
3200,flat,signature global solera,sector 107,0.28,5726.0,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,10.0,South,Relatively New,,,489.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
3246,house,independent,manesar,0.8,6667.0,1200.0,Plot area 1200(111.48 sq.m.),8.0,8.0,2,1.0,,Relatively New,,1200.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3252,house,independent,sector 43,5.3,27390.0,1935.0,Plot area 215(179.77 sq.m.),9.0,9.0,3+,3.0,East,Moderately Old,,1935.0,,0.0,1.0,0.0,0.0,0.0,1.0,71.0
3254,house,independent,sector 7,1.2,11194.0,1072.0,Built Up area: 1072 (99.59 sq.m.),5.0,4.0,2,3.0,,Undefined,,1072.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3268,house,independent,sector 9,0.42,9333.0,450.0,Built Up area: 450 (41.81 sq.m.),5.0,3.0,2,2.0,,Undefined,,450.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3282,house,iffco nagar and 17b rwa,sector 17,2.98,20566.0,1449.0,Plot area 161(134.62 sq.m.),6.0,6.0,3+,3.0,East,Relatively New,,1449.0,,1.0,0.0,0.0,1.0,0.0,0.0,78.0
3300,house,independent,sector 7,0.95,21111.0,450.0,Plot area 450(41.81 sq.m.),2.0,1.0,1,3.0,,New Property,,450.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3306,house,independent,sector 4,0.5,10482.0,477.0,Built Up area: 53 (44.31 sq.m.),5.0,3.0,0,1.0,,Undefined,,53.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3309,house,independent,sector 4,0.5,9259.0,540.0,Plot area 540(50.17 sq.m.),5.0,3.0,2,3.0,West,Old Property,,540.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3313,house,independent,sector 105,0.35,7778.0,450.0,Carpet area: 500 (46.45 sq.m.),2.0,2.0,1,2.0,East,Undefined,,,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3328,house,independent,sector 24,4.5,33333.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),10.0,8.0,3+,4.0,East,Relatively New,,160.0,150.0,0.0,1.0,1.0,0.0,0.0,1.0,56.0
3329,house,independent,sector 5,1.1,10000.0,1100.0,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),5.0,4.0,2,1.0,East,Undefined,,1100.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3347,house,not applicable,sector 4,0.75,11719.0,640.0,Plot area 640(59.46 sq.m.),5.0,4.0,3,2.0,,Moderately Old,,640.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3364,house,rattan vihar rajendra park,dwarka expressway,0.85,14167.0,600.0,Plot area 600(55.74 sq.m.),5.0,5.0,3+,4.0,,New Property,,600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3442,house,independent,sector 6,0.5,8333.0,600.0,Plot area 600(55.74 sq.m.),3.0,3.0,2,2.0,East,Moderately Old,,600.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3446,house,independent,sector 9,0.35,9722.0,360.0,Plot area 40(33.45 sq.m.),2.0,2.0,1,2.0,South-East,Old Property,,360.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3447,flat,pivotal devaan,sector 84,0.36,7595.0,474.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2.0,2.0,1,9.0,West,Relatively New,583.0,,481.0,0.0,0.0,1.0,0.0,0.0,2.0,80.0
3455,flat,rof ananda,sector 95,0.37,5745.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3.0,2.0,1,6.0,South-East,Relatively New,,,644.111776,0.0,0.0,0.0,1.0,0.0,1.0,72.0
3546,house,independent,sector 38,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7.0,7.0,3+,3.0,North-East,Relatively New,,900.0,,1.0,0.0,1.0,1.0,0.0,0.0,27.0
3558,flat,signature global solera,sector 107,0.51,7907.0,645.0,Carpet area: 645 (59.92 sq.m.),3.0,2.0,2,9.0,South,Relatively New,,,645.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0
3579,house,shri shyam residency,sector 104,0.62,12400.0,500.0,Plot area 500(46.45 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),3.0,3.0,1,2.0,,Moderately Old,,900.0,480.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0
3590,flat,signature global solera,sector 107,0.3,6135.0,489.0,Super Built up area 602(55.93 sq.m.)Carpet area: 489 sq.ft. (45.43 sq.m.),2.0,2.0,1,5.0,East,Relatively New,602.0,,489.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
3624,house,independent,sector 4,0.67,9795.0,684.0,Plot area 76(7.06 sq.m.),3.0,3.0,2,2.0,South,Relatively New,,76.0,,0.0,0.0,0.0,0.0,1.0,0.0,7.0
3633,house,independent,sector 17,0.32,5664.0,565.0,Built Up area: 565 (52.49 sq.m.),5.0,1.0,0,1.0,,Undefined,,565.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3686,house,independent,sector 12,0.9,13333.0,675.0,Built Up area: 675 (62.71 sq.m.),4.0,4.0,0,2.0,,Undefined,,675.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3713,house,independent,sector 41,4.25,26235.0,1620.0,Plot area 180(150.5 sq.m.),10.0,9.0,3+,4.0,North,Moderately Old,,1620.0,,1.0,1.0,0.0,0.0,0.0,1.0,36.0
3738,house,independent,sector 7,1.16,11694.0,992.0,Plot area 992(92.16 sq.m.)Carpet area: 992 sq.ft. (92.16 sq.m.),5.0,4.0,2,3.0,North-East,Moderately Old,,,992.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0
3751,house,independent,sector 21,0.45,8411.0,535.0,Carpet area: 535 (49.7 sq.m.),3.0,2.0,1,1.0,,Undefined,,,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3774,house,independent,sector 28,0.45,10000.0,450.0,Built Up area: 50 (4.65 sq.m.),5.0,3.0,0,1.0,,Undefined,,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3797,house,surendra homes dayaindependentd colony,sector 6,0.75,15625.0,480.0,Built Up area: 480 (44.59 sq.m.),4.0,4.0,2,1.0,,Undefined,,480.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
